RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[9],['B'],[True],[629.3494809673443],[652.6213163175065],[655.021628811017],[660.7641615799696],[663.4940166762397],[663.4940166762397],[820.355845809203],[823.882212208516],[824.4722319234041],[829.5712463410867],[852.8430816912489]
[9],['A'],[True],[90.9242284816087],[116.6393824188639],[171.88503906267516],[177.45105641052606],[180.96730195830844],[180.96730195830844],[824.0325330109441],[826.3188733530237],[826.3188733530237],[830.8504855336896],[856.5656394709448]
[9],['A'],[True],[81.87469112696604],[104.60317179117413],[152.41779408728635],[157.66931473746487],[160.5165065517347],[160.5165065517347],[828.3208802921596],[831.4849800198125],[831.4849800198125],[836.5906862981719],[859.31916696238]
[9],['A'],[False],[85.00335122210535],[134.64870560818488],[198.375351893494],[202.6278764820593],[205.531203314712],[214.20210530611428],[802.6451558550226],[805.6239939809677],[805.6239939809677],[811.4814061909383],[861.1267605770179]
[9],['B'],[True],[676.7199265585913],[710.6889437966878],[710.6889437966878],[716.4439568787157],[719.1038623826676],[719.1038623826676],[820.4186591239356],[822.8080841011797],[822.8080841011797],[827.4940989095122],[861.4631161476087]
[9],['A'],[False],[114.35104067451695],[147.13260666695214],[208.1035181691507],[213.95554515943851],[216.96216443683056],[228.17513883498836],[822.6291529110391],[826.0468101026312],[826.0468101026312],[831.2081683471307],[863.9897343395659]
[9],['B'],[True],[699.125244709685],[715.914117534551],[716.4439568787157],[721.2090184428566],[724.1442320633901],[724.1442320633901],[842.5080634438606],[845.9122675781537],[845.9122675781537],[850.9661444573663],[867.7550172822323]
[9],['A'],[False],[111.47796032371623],[132.9787742393416],[194.03864029523632],[198.77728215485502],[201.7245345755668],[215.44957164074697],[841.0825216736042],[844.0939622006127],[844.0939622006127],[849.0229761933289],[870.5237901089542]
[9],['B'],[True],[729.9399067011054],[762.7347321883897],[765.272392384301],[771.2238435290967],[773.8266140727659],[773.8266140727659],[831.879592331534],[834.5787068201848],[834.5787068201848],[841.60170426981],[874.3965297570943]
[9],['B'],[True],[740.2603349353243],[760.304166589783],[760.304166589783],[765.272392384301],[768.1584714400559],[768.1584714400559],[848.0807585798299],[850.6112595193966],[850.6112595193966],[855.6098127285853],[875.653644383044]
